"No","표준명 [INGR_KOR_NAME] ","영문명 [INGR_ENG_NAME] ","CASNO [CAS_NO] ","기원및정의 [ORIGIN_MAJOR_KOR_NAME] ","이명 [INGR_SYNONYM] ","rownum"
"18","리놀레익애씨드","Linoleic Acid","342889-37-6 	,60-33-3","이 원료는 주로 다음의 구조를 갖는 불포화 지방산이다.","","18"
"19","리마콩씨추출물","Phaseolus Lunatus (Green Bean) Seed Extract","85085-22-9","이 원료는 리마콩(Gren Bean) Phaseolus Lunatus의 씨에서 추출한 것이다.","리마콩추출물","19"
"20","리모넨","Limonene","68647-72-3 (generic),5989-27-5(D-),7705-13-7(D-),138-86-3 (DL-)","이 원료는 d-리모넨, l-리모넨 또는 (라세믹) dl-리모넨 가운데 한 개 이상의 입체이성체로 이루어진 터펜이다.","","20"
"21","리모니아 아키디시마목부가루","Limonia Acidissima Wood Powder","","이 원료는 Limonia acidissima의 목부를 건조하여 가루로 한 것이다.","리모니아 아시디씨마나무가루","21"
"22","리보플라빈","Riboflavin,Lactoflavin","83-88-5","이 원료는 다음의 구조를 갖는 유기화합물이다.","","22"
"23","구상나무잎추출물","Abies Koreana Leaf Extract","","이 원료는 구상나무 Abies koreana의 잎에서 추출한 것이다.","","23"
"24","리씨열매오일","Litsea Cubeba Fruit Oil","68855-99-2","이 원료는 리씨 Litsea cubeba 열매에서 추출한 휘발성 오일이다.","","24"
"25","리치과피추출물","Litchi Chinensis Pericarp Extract","91722-81-5","이 원료는 리치 Litchi chinensis과피의 추출물이다.","","25"
"26","리치씨추출물","Litchi Chinensis Seed Extract","","이 원료는 리치 Litchi chinensis의 씨에서 추출한 것이다.","","26"
"27","리치추출물","Litchi Chinensis Fruit Extract","","이 원료는 리치 Litchi chinensis의 열매에서 추출한 것이다.","리치열매추출물,여지열매추출물","27"
"28","리토탐니온 칼카룸가루","Lithothamnion Calcareum Powder","","이 원료는 홍조류의 일종인 Lithothamnion calcareum(=Phymatolithon calcareum)을 건조하여 가루로 한 것이다.","리토탐니움 칼카룸가루","28"
"29","리튬마그네슘소듐실리케이트","Lithium Magnesium Sodium Silicate","53320-86-8","이 원료는 주로 리튬, 마그네슘 및 소듐실리케이트로 구성된 합성규산염 점토 물질이다.","","29"
"30","리튬스테아레이트","Lithium Stearate","12/5/85","이 원료는 다음의 구조를 갖는 스테아릭애씨드의 리튬염이다.","","30"
"31","글루티너스리트세아나무껍질추출물","Litsea Glutinosa Bark Extract","","이 원료는 글루티너스리트세아 Litsea glutinosa의 나무껍질에서 추출한 것이다.","","31"
"32","리파아제","Lipase","9001-62-1","이 원료는 트라이글리세라이드를 가수분해하는 효소이다.","","32"
"33","리피아 시도이데스잎오일","Lippia Sidoides Leaf Oil","","이 원료는 Lippia sidoides의 잎에서 얻은 휘발성 오일이다.","","33"
"34","구아검","Cyamopsis Tetragonoloba (Guar) Gum","9000-30-0","이 원료는 구아(Guar) Cyamopsis tetragonoloba의 분쇄한 내배유에서 얻은 수지성 물질이다.","","34"
"35","유럽피나무꽃추출물","Tilia Europaea Flower Extract","","이 원료는 유럽피나무 Tilia europaea의 꽃에서 추출한 것이다.","린덴꽃추출물","35"
"36","마가목추출물","Sorbus Commixta Extract","","이 원료는 마가목 Sorbis commixta의 전초에서 추출한 것이다.","","36"
"37","마그네슘글루코네이트","Magnesium Gluconate","3632-91-5","이 원료는 다음의 구조를 갖는 글루코닉애씨드의 마그네슘염이다.","","37"
"38","마그네슘나이트레이트","Magnesium Nitrate","10377-60-3","이 원료는 다음의 구조를 갖는 무기염이다.","","38"
"39","마그네슘라우레스-8설페이트","Magnesium Laureth-8 Sulfate","62755-21-9(generic)","이 원료는 다음의 구조를 갖는 라우레스-8의 설퓨릭애씨드 에스터의 마그네슘염이다 : n 은 평균8의 값을 갖는다.","","39"
"40","마그네슘라우레스설페이트","Magnesium Laureth Sulfate","62755-21-9(generic)","이 원료는 주로 다음의 구조를 갖는 에톡실화 된 라우릴설페이트의 마그네슘염이다. : n은 주로 1과 4 사이의 값을 갖는다.","","40"
"41","마그네슘라우릴설페이트","Magnesium Lauryl Sulfate","8/3/97","이 원료는 다음의 구조를 갖는 라우릴설페이트의 마그네슘염이다.","","41"
"42","마그네슘락테이트","Magnesium Lactate","18917-93-6","이 원료는 다음의 구조를 갖는 락틱애씨드 이다.","","42"
"43","마그네슘미리스테이트","Magnesium Myristate","4086-70-8","이 원료는 주로 다음의 구조를 갖는 미리스틱애씨드의 마그네슘염이다.","","43"
"44","마그네슘살리실레이트","Magnesium Salicylate","551-37-1,18917-89-0","이 원료는 다음의 구조를 갖는 살리실릭애씨드의 마그네슘염이다.","","44"
"45","구아노신","Guanosine","118-00-3","이 원료는 다음의 구조를 갖는 유기화합물이다.","","45"
"46","마그네슘설페이트","Magnesium Sulfate","10034-99-8(heptahydrate),18939-43-0,7487-88-9","이 원료는 다음의 구조를 갖는 무기염이다.","","46"
"47","마그네슘스테아레이트","Magnesium Stearate","557-04-0","이 원료는 주로 다음의 구조를 갖는 스테아릭애씨드의 마그네슘염이다.","","47"
"48","마그네슘시트레이트","Magnesium Citrate","7779-25-1,6150-79-4,144-23-0","이 원료는 시트릭애씨드의 마그네슘염이다.","","48"
"49","마그네슘실리케이트","Magnesium Silicate","1343-88-0","이 원료는 주로 다음의 구조로 이루어진 다양한 조성의 무기염이다.","","49"
"50","마그네슘아세테이트","Magnesium Acetate","16674-78-5(hydrate),142-72-3","이 원료는 다음의 구조를 갖는 아세틱애씨드의 마그네슘 염이다.","","50"
"51","마그네슘아스코빌포스페이트","Magnesium Ascorbyl Phosphate","113170-55-1,114040-31-2","이 원료는 다음의 구조를 갖는 유기화합물이다.","","51"
"52","마그네슘아스파테이트","Magnesium Aspartate","1187-91-3 (DL-),18962-61-3 (L-),2068-80-6 (L-),52101-01-6 (DL-)","이 원료는 다음의 구조를 갖는 아스파틱애씨드의 마그네슘염이다.","","52"
"53","마그네슘알루미늄실리케이트","Magnesium Aluminum Silicate","12199-37-0,12511-31-8","이 원료는 천연에 존재하는 미네랄에서 정제한 복합실리케이트이다.","","53"
"54","마그네슘옥사이드","Magnesium Oxide","1309-48-4","이 원료는 주로 다음의 구조를 갖는 무기산화물이다.","","54"
"55","마그네슘올레스설페이트","Magnesium Oleth Sulfate","87569-97-9","이 원료는 주로 다음의 구조를 갖는 황산화 및 에톡실화 된 올레일알코올의 마그네슘염이다. :n은 평균 1과 4사이의 값을 갖는다.","","55"
"56","구아니딘카보네이트","Guanidine Carbonate","593-85-1,100224-74-6","이 원료는 다음의 구조를 갖는 유기화합물이다.","","56"
"57","마그네슘카보네이트","Magnesium Carbonate,CI 77713","546-93-0,7757-69-9","이 원료는 기본 탈수 마그네슘카보네이트 또는 일반 수화 마그네슘카보네이트이다.","","57"
"58","마그네슘카보네이트하이드록사이드","Magnesium Carbonate Hydroxide","7760-50-1,39409-82-0,12125-28-9","이 원료는 다음의 구조를 갖는 무기카보네이트이다.","","58"
"59","마그네슘클로라이드","Magnesium Chloride","7786-30-3,7791-18-6(hydrate)","이 원료는 다음의 구조를 갖는 무기염이다.","","59"
"60","마그네슘트라이실리케이트","Magnesium Trisilicate","14987-04-3","이 원료는 주로 다음의 구조를 갖는 무기화합물이다.","마그네슘트리실리케이트","60"
"61","마그네슘팔미토일글루타메이트","Magnesium Palmitoyl Glutamate","57539-47-6","이 원료는 다음의 구조를 갖는 치환된 아미노산이다.","","61"
"62","마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드","Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide","","이 원료는 포타슘실리코플루오라이드와 가열한 탈크에서 얻은 물질이다.","","62"
"63","마그네슘포타슘플루오로실리케이트","Magnesium Potassium Fluorosilicate","","이 원료는 주로 다음의 구조를 갖는 무기염이다.","","63"
"64","마그네슘피씨에이","Magnesium PCA","5819-47-6","이 원료는 다음의 구조를 갖는 피롤리딘카복실릭애씨드(PCA)의 마그네슘염이다.","","64"
"65","마그네슘하이드록사이드","Magnesium Hydroxide","1309-42-8","이 원료는 다음의 구조를 갖는 무기염이다.","","65"
"66","황목련꽃추출물","Magnolia Acuminata Flower Extract","","이 원료는 황목련 Magnolia acuminata의 꽃에서 추출한 것이다.","마그놀리아꽃추출물","66"
"67","구아닌","Guanine,CI 75170","73-40-5","이 원료는 다음의 구조를 갖는 천연 퓨린이다.","","67"
"68","마누카가지/잎오일","Leptospermum Scoparium Branch/Leaf Oil","223749-44-8,219828-87-2","이 원료는 마누카Leptospermum scoparium의 잎과 가지에서 얻은 휘발성 오일이다.","","68"
"69","마늘추출물","Allium Sativum (Garlic) Bulb Extract","8008-99-9","이 원료는 마늘(Garlic) Allium sativum의 비늘줄기에서 추출한 것이다.","","69"
"70","마데카소사이드","Madecassoside","34540-22-2","이 원료는 다음의 구조를 갖는 유기화합물이다.","","70"
"71","마데카식애씨드","Madecassic Acid","18449-41-7","이 원료는 다음의 구조를 갖는 유기화합물이다.","","71"
"72","마돈나백합꽃수","Lilium Candidum Flower Water","","이 원료는 마돈나백합 Lilium candidum의 꽃을 수증기 증류하여 얻은 수용액이다.","","72"
"73","마돈나백합꽃추출물","Lilium Candidum Flower Extract","","이 원료는 마돈나백합 Lilium candidum의 꽃에서 추출한 것이다.","","73"
"74","마돈나백합비늘줄기추출물","Lilium Candidum Bulb Extract","84776-67-0","이 원료는 마돈나백합 Lilium candidum의 비늘줄기에서 추출한 것이다.","","74"
"75","가시칠엽수껍질추출물","Aesculus Hippocastanum (Horse Chestnut) Bark Extract","","이 원료는 가시칠엽수(Horse Chestnut) Aesculus hippocastanum의 나무껍질에서 추출한 것이다.","마로니에껍질추출물","75"
"76","가시칠엽수씨추출물","Aesculus Hippocastanum (Horse Chestnut) Seed Extract","8053-39-2","이 원료는 가시칠엽수(Horse Chestnut) Aesculus hippocastanum의 씨에서 추출한 것이다.","마로니에씨추출물","76"
"77","마뿌리추출물","Dioscorea Oppositifolia (Wild Yam) Root Extract,Dioscorea Opposita (Wild Yam) Root Extract","","이 원료는 마(Wild Yam) Dioscorea Oppositifolia의 뿌리에서 추출한 것이다.","","77"
"78","구아바잎추출물","Psidium Guajava Leaf Extract","90045-46-8,91770-12-6 (generic)","이 원료는 구아바 Psidium guajava의 잎에서 추출한 것이다.","","78"
"79","마시멜로뿌리","Althaea Officinalis Root","","이 원료는 마시멜로 Althaea officinalis의 뿌리이다.","","79"
"80","마시멜로뿌리추출물","Althaea Officinalis Root Extract","73049-65-7","이 원료는 마시멜로 Althaea officinalis의 뿌리에서 추출한 것이다.","","80"
"81","마시멜로잎/뿌리추출물","Althaea Officinalis Leaf/Root Extract","","이 원료는 마시멜로 Althaea officinalis의 마른잎 및 뿌리에서 추출한 것이다.","","81"
"82","마시멜로잎추출물","Althaea Officinalis Leaf Extract","","이 원료는 마시멜로 Althaea officinalis의 잎에서 추출한 것이다.","","82"
"83","마이카","Mica,CI 77019","12001-26-2","이 원료는 다양한 화학 조성이지만 유사한 물리적 특성을 가진 일련의 실리케이트미네랄이다.","","83"
"84","마이크로코쿠스용해물","Micrococcus Lysate","158765-79-8","이 원료는 마이크로코쿠스 Microccocus luteus 균류의 발효로 얻은 생성물을 용해 한 것이다.","","84"
"85","마이크로크리스탈린셀룰로오스","Microcrystalline Cellulose","9004-34-6","이 원료는 셀룰로오스 섬유의 분리된 아교질의 결정성 부분이다.","","85"
"86","마이크로크리스탈린왁스","Microcrystalline Wax,Cera Microcristallina","63231-60-7","이 원료는 석유에서 유래한 왁스로 파라핀 왁스의 큰 결정과는 반대로 미세한 결정의 특징이 있다. 이 원료는 고분자량의 포화지방족 탄화수소로 이루어져 있다.","세라마이크로크리스탈리나","86"
"87","삼씨오일","Cannabis Sativa Seed Oil","8016-24-8","이 원료는 삼 Cannabis sativa의 씨[껍질(포엽과 외종피)이 완전히 제거된 씨앗]를 압착하여 얻은 오일이다.<BR/><BR/>※ 「마약류관리에 관한 법률」 제2조에 따른 마약류는 화장품 원료에 사용할 수 없습니다. <BR/>※ 화장품에 사용되는 성분의 안전과 적합성은 완제품(화장품) 책임판매업체의 책임이며, 화장품법에 따라야 합니다.","마인오일","87"
"88","쇠비름추출물","Portulaca Oleracea Extract","90083-07-1","이 원료는 쇠비름 Portulaca oleracea의 전초에서 추출한 것이다.","마치현추출물","88"
"89","구아바열매추출물","Psidium Guajava Fruit Extract","90045-46-8,91770-12-6","이 원료는 구아바 Psidium guajava의 열매에서 추출한 것이다.","구아바추출물","89"
"90","퀸즈랜드넛오일","Macadamia Integrifolia Seed Oil","159518-86-2,438545-25-6 (generic)","이 원료는 퀸즈랜드넛 Macadamia integrifolia의 씨에서 얻은 고정유(불휘발성 오일)이다.","마카다미아씨오일","90"
"91","마카다미아씨추출물","Macadamia Ternifolia Seed Extract","","이 원료는 마카다미아 Macadamia ternifolia의 씨에서 추출한 것이다.","","91"
"92","마카뿌리추출물","Lepidium Meyenii Root Extract","","이 원료는 마카 Lepidium meyenii의 뿌리에서 추출한 것이다.","","92"
"93","마테잎추출물","Ilex Paraguariensis Leaf Extract","84082-59-7,73296-98-7","이 원료는 마테 Ilex paraguariensis의 잎에서 추출한 것이다.","","93"
"94","마텔오일","Myrtus Communis Oil","8008-46-6","이 원료는 마텔 Myrtus communis에서 얻은 오일이다.","","94"
"95","마텔잎수","Myrtus Communis Leaf Water","","이 원료는 마텔 Myrtus communis의 잎을 수증기 증류하여 얻은 수용액이다.","","95"
"96","마텔추출물","Myrtus Communis Extract","84082-67-7","이 원료는 마텔 Myrtus communis의 전초에서 추출한 것이다.","","96"
"97","초마황추출물","Ephedra Sinica Extract","85940-38-1","이 원료는 초마황 Ephedra sinica에서 추출한 것이다.","마황추출물","97"
"98","만난","Mannan","9036-88-8,51395-96-1","이 원료는 만노스의 중합체로 구성된 천연의 폴리사카라이드이다.","","98"
"99","구아이아줄렌","Guaiazulene","489-84-9","이 원료는 다음의 구조를 갖는 착색제이다.","","99"
"100","만니톨","Mannitol","87-78-5,69-65-8","이 원료는 다음의 구조를 갖는 헥사하이드릭알코올이다.","","100"
"101","필리핀오렌지껍질오일","Citrus Nobilis (Mandarin Orange) Peel Oil,CITRUS NOBILIS PEEL OIL EXPRESSED","84929-38-4 (generic),8008-31-9 	,84696-35-5","이 원료는 필리핀오렌지(Mandarin Orange) Citrus nobilis의 껍질에서 얻은 오일이다.","만다린껍질오일","101"
"102","필리핀오렌지껍질추출물","Citrus Nobilis (Mandarin Orange) Peel Extract","84929-38-4 (generic),90063-83-5","이 원료는 필리핀오렌지(Mandarin Orange) Citrus nobilis의 껍질에서 추출한 것이다.","만다린껍질추출물","102"
"103","필리핀오렌지수","Citrus Nobilis (Mandarin Orange) Water","84929-38-4 (generic)","이 원료는 필리핀 오렌지(Mandarin Orange) Citrus nobilis을 수증기 증류하여 얻은 수용액이다.","만다린수","103"
"104","필리핀오렌지추출물","Citrus Nobilis (Mandarin Orange) Fruit Extract","84929-38-4 (generic)","이 원료는 필리핀 오렌지(Mandarin Orange) Citrus nobilis의 열매에서 추출한 것이다.","만다린추출물","104"
"105","만델릭애씨드","Mandelic Acid","17199-29-0,90-64-2","이 원료는 다음의 구조를 갖는 유기산이다.","","105"
"106","만주곰슬껍질추출물","Pinus Tabuliformis Bark Extract","","이 원료는 만주곰슬 Pinus tabuliformis의 껍질에서 추출한 것이다.","만주곰솔껍질추출물","106"
"107","튜베로즈추출물","Polianthes Tuberosa Extract","94334-35-7","이 원료는 튜베로즈 Polianthes tuberosa의 전초에서 추출한 것이다.","만향옥추출물","107"
"108","말굽잔나비버섯추출물","Fomes Officinalis (Mushroom) Extract","94465-74-4","이 원료는 말굽잔나비버섯 Fomes officinalis에서 추출한 것이다.","","108"
"109","말라카이트","Malachite","1319-53-5","이 원료는 주로 카퍼카보네이트하이드록사이드로 구성된 미네랄이다.","","109"
"110","힙네아 무스키포르미스추출물","Hypnea Musciformis Extract","223751-71-1","이 원료는 홍조류의 일종인 Hypnea musciformis에서 추출한 것이다.","갈고리가시우무추출물","110"
"111","구아하이드록시프로필트라이모늄클로라이드","Guar Hydroxypropyltrimonium Chloride","65497-29-2","이 원료는 하이드록시프로필구아의 4급 암모늄 유도체이다.","구아하이드록시프로필트리모늄클로라이드","111"
"112","말라카이트추출물","Malachite Extract","","이 원료는 바위를 분쇄하여 하이드로클로릭애씨드로 용해하고 소듐바이카보네이트로 중화하여 얻은 말라카이트에서 추출한 것이다","","112"
"113","말레익애씨드","Maleic Acid","110-16-7,6915-18-0","이 원료는 다음의 구조를 갖는 시스 불포화 유기산이다.","","113"
"114","당아욱꽃/잎/줄기추출물","Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract","84082-57-5","이 원료는 당아욱(Mallow) Malva sylvestris의 꽃, 잎 및 줄기에서 추출한 것이다.","말로우꽃/잎/줄기추출물","114"
"115","당아욱잎가루","Malva Sylvestris (Mallow) Leaf Powder","","이 원료는 당아욱(Mallow) Malva sylvestris의 잎을 건조하여 가루로 한 것이다.","말로우잎가루","115"
"116","당아욱잎추출물","Malva Sylvestris (Mallow) Leaf Extract","","이 원료는 당아욱(Mallow) Malva sylvestris의 잎에서 추출한 것이다.","말로우잎추출물","116"
"117","당아욱추출물","Malva Sylvestris (Mallow) Extract","","이 원료는 당아욱(Mallow) Malva sylvestris의 전초에서 추출한 것이다.","말로우추출물","117"
"118","말리에이티드콩오일","Maleated Soybean Oil","68648-66-8","이 원료는 조작된 콩오일이며, 싸이클릭 디카복실릭 애씨드를 통해 치환되어 불포화된다. 일반적으로 다음의 구조를 갖는다 : R은 반응하지 않고 남은 콩오일이다.","","118"
"119","아라비안자스민꽃왁스","Jasminum Sambac (Jasmine) Flower Wax","","이 원료는 아라비안자스민(Jasmine) Jasminum sambac 의 꽃에서 얻은 왁스이다.","말리화꽃왁스","119"
"120","아라비안자스민꽃추출물","Jasminum Sambac (Jasmine) Flower Extract","91770-14-8","이 원료는 아라비안자스민(Jasmine) Jasminum sambac의 꽃에서 추출한 것이다.","말리화꽃추출물","120"
"121","아라비안자스민잎세포추출물","Jasminum Sambac (Jasmine) Leaf Cell Extract","","이 원료는 아라비안자스민(Jasmine) Jasminum sambac의 잎 세포를 배양하여 추출한 것이다.","말리화잎세포추출물","121"
"122","구절초추출물","Chrysanthemum Sibiricum Extract","","이 원료는 구절초 Chrysanthemum sibiricum(=Chrysantehmum zawadskii)의 전초에서 추출한 것이다.","구절초추출물","122"
"123","말릭애씨드","Malic Acid","636-61-3 (D-)	,6915-15-7 ,97-67-6 (L-)","이 원료는 다음의 구조를 갖는 유기산이다.","","123"
"124","말미잘자포","Sea Anemone Nematocyst","","이 원료는 말미잘의 촉수에서 추출한 자포이다.","","124"
"125","말토덱스트린","Maltodextrin","9050-36-6","이 원료는 전분의 가수분해로 얻은 사카라이드이다.","","125"
"126","말토바이오닉애씨드","Maltobionic Acid","534-42-9","이 원료는 다음의 구조를 갖는 유기화합물이다.","","126"
"127","말토스","Maltose","69-79-4,16984-36-4","이 원료는 다음의 구조를 갖는 당이다.","","127"
"128","말토실사이클로덱스트린","Maltosyl Cyclodextrin","104723-60-6","이 원료는 말토오스와 사이클로덱스트린의 반응에 의해 얻은 물질이다.","","128"
"129","말티톨","Maltitol","585-88-6 (D-)","이 원료는 말토오스에 수소 첨가하여 얻은 디사카라이드폴리올이다.","","129"
"130","말티톨라우레이트","Maltitol Laurate","75765-49-0","이 원료는 다음의 구조를 갖는 말티톨 및 라우릭애씨드의 에스터이다.","","130"
"131","망가니즈글루코네이트","Manganese Gluconate","6485-39-8","이 원료는 다음의 구조를 갖는 글루코닉애씨드의 망가니즈염이다.","","131"
"132","망가니즈다이옥사이드","Manganese Dioxide","1313-13-9","이 원료는 다음의 구조를 갖는 무기산화물이다.","망가니즈디옥사이드","132"
"133","망가니즈바이올렛","Manganese Violet,Ammonium Manganese(3+) Diphosphate,CI 77742","10101-66-3","이 원료는 주로 다음의 구조를 갖는 무기염이다.","","133"
"134","망가니즈클로라이드","Manganese Chloride","7773-01-05,11132-78-8","이 원료는 다음의 구조를 갖는 무기염이다.","","134"
"135","망가니즈피씨에이","Manganese PCA","","이 원료는 피롤리돈카복실릭애씨드(PCA)의 망간염이다.","","135"
"136","망고스틴껍질추출물","Garcinia Mangostana Peel Extract","90045-25-3","이 원료는 망고스틴 (Garcinia mangostana)의 껍질에서 추출한 것이다.","","136"
"137","망고씨","Mangifera Indica (Mango) Seed","90063-86-8 (generic)","이 원료는 망고 (Mangifera indica)에서 얻은 씨이다.","","137"
"138","망고씨버터","Mangifera Indica (Mango) Seed Butter","90063-86-8 (generic)","이 원료는 망고(Mango) Mangifera indica의 씨에서 얻은 지방이다.","망고씨드버터","138"
"139","망고씨오일","Mangifera Indica (Mango) Seed Oil","90063-86-8 (generic)","이 원료는 망고 (Mangifera indica)의 커넬을 압착하여 얻은 불휘발성 오일이다.","","139"
"140","망고잎추출물","Mangifera Indica (Mango) Leaf Extract","90063-86-8 (generic)","이 원료는 망고 (Mangifera indica)의 잎에서 추출한 것이다.","","140"
"141","망고즙","Mangifera Indica (Mango) Juice","90063-86-8","이 원료는 망고 (Mangifera indica)의 즙이다.","","141"
"142","구주물푸레잎추출물","Fraxinus Excelsior Leaf Extract","84625-28-5","이 원료는 구주물푸레 Fraxinus excelsior의 잎에서 추출한 것이다.","","142"
"143","망고추출물","Mangifera Indica (Mango) Fruit Extract","90063-86-8","이 원료는 망고 (Mangifera indica)의 열매에서 추출한 것이다.","","143"
"144","메도우스위트꽃추출물","Spiraea Ulmaria Flower Extract","84775-57-5","이 원료는 메도우스위트 Spiraea ulmaria(=Filipendula ulmaria)의 꽃에서 추출한 것이다.","매도우스위트꽃추출물","144"
"145","메도우스위트잎추출물","Spiraea Ulmaria Leaf Extract","84775-57-5","이 원료는 메도우스위트 Spiraea ulmaria의 잎에서 추출한 것이다.","매도우스위트잎추출물","145"
"146","메도우스위트추출물","Spiraea Ulmaria Extract","84775-57-5","이 원료는 메도우스위트 Spiraea ulmaria에서 추출한 것이다.","매도우스위트추출물","146"
"147","매생이추출물","Capsosiphon Fulvescens Extract","","이 원료는 매생이 (Capsosiphon fulvescens)에서 추출한 것이다.","","147"
"148","매스틱검","Pistacia Lentiscus (Mastic) Gum","90082-82-9,61789-92-2","이 원료는 매스틱(Mastic) Pistacia lentiscus 나무에서 얻은 검이다.","","148"
"149","매실수","Prunus Mume Fruit Water","","이 원료는 매실나무 (Prunus mume)의 열매를 수증기 증류하여 얻은 수용액이다.","","149"
"150","매실추출물","Prunus Mume Fruit Extract","","이 원료는 매실나무 (Prunus mume)의 열매에서 추출한 것이다.","","150"
"151","매실나무꽃수","Prunus Mume Flower Water","","이 원료는 매실나무 Prunus mume의 꽃을 수증기 증류하여 얻은 수용액이다.","매화수","151"
"152","매실나무꽃추출물","Prunus Mume Flower Extract","","이 원료는 매실나무 Prunus mume의 꽃에서 추출한 것이다.","매화추출물","152"
"153","구주소나무껍질추출물","Pinus Sylvestris Bark Extract","","이 원료는 구주소나무 Pinus sylvestris의 껍질에서 추출한 것이다.","","153"
"154","소엽맥문동뿌리추출물","Ophiopogon Japonicus Root Extract","","이 원료는 소엽맥문동 Ophiopogon japonica 또는 백합과 다른 종의 뿌리에서 추출한 것이다.","맥문동추출물","154"
"155","맥아추출물","Malt Extract","8002-48-0","이 원료는 부분적으로 발아된 그리고 건조된 보리 씨의 수용성 추출물을 증발하여 얻은 거무스름한 시럽이다.","","155"
"156","머위뿌리추출물","Petasites Japonicus Root Extract","91845-41-9","이 원료는 머위 Petasites japonicus의 뿌리에서 추출한 것이다.","","156"
"157","머위잎/줄기추출물","Petasites Japonicus Leaf/Stem Extract","","이 원료는 머위 (Petasites japonicus)의 줄기 및 잎에서 추출한 것이다.","","157"
"158","우단담배풀추출물","Verbascum Thapsus Extract","84012-25-9,90064-13-4","이 원료는 우단담배풀 Verbascum thapsus에서 추출한 것이다.","멀런추출물","158"
"159","멍석딸기추출물","Rubus Parvifolius Fruit Extract","","이 원료는 멍석딸기 (Rubus parvifolius)의 딸기에서 추출한 것이다.","","159"
"160","메도우폼델타-락톤","Meadowfoam Delta-Lactone","","이 원료는 주로 메도우폼씨오일 지방산에서 형성된 락톤이다.","","160"
"161","메도우폼씨오일","Limnanthes Alba (Meadowfoam) Seed Oil","153065-40-8","이 원료는 메도우폼 (Limnanthes alba)의 씨에서 추출한 오일이다.","","161"
"162","메밀씨추출물","Polygonum Fagopyrum (Buckwheat) Seed Extract","","이 원료는 메밀 (Polygonum fagopyrum)의 씨에서 추출한 것이다.","","162"
